,ML,Low_90,High_90,Low_50,High_50,state,district
290,1.9100000000000001,0.88,3.21,1.51,2.49,Assam,Bongaigaon
291,1.86,0.87,3.12,1.44,2.38,Assam,Bongaigaon
292,3.0,1.01,6.99,2.04,4.45,Assam,Cachar
293,2.77,0.99,5.8100000000000005,1.97,3.97,Assam,Cachar
294,2.61,0.9500000000000001,5.21,1.85,3.63,Assam,Cachar
295,2.49,0.97,4.88,1.83,3.47,Assam,Cachar
296,2.4,0.9500000000000001,4.6000000000000005,1.73,3.2600000000000002,Assam,Cachar
297,2.32,0.93,4.38,1.71,3.16,Assam,Cachar
298,2.25,0.92,4.21,1.6400000000000001,3.02,Assam,Cachar
299,2.19,0.87,4.0200000000000005,1.6600000000000001,2.99,Assam,Cachar
300,2.14,0.88,3.92,1.62,2.9,Assam,Cachar
301,2.09,0.86,3.8000000000000003,1.6,2.84,Assam,Cachar
302,1.94,0.76,3.5300000000000002,1.48,2.65,Assam,Cachar
303,1.92,0.77,3.5100000000000002,1.43,2.58,Assam,Cachar
304,2.02,0.81,3.59,1.52,2.69,Assam,Cachar
305,1.98,0.84,3.56,1.49,2.63,Assam,Cachar
306,2.06,0.89,3.61,1.56,2.7,Assam,Cachar
307,2.11,0.93,3.61,1.6600000000000001,2.79,Assam,Cachar
308,2.15,0.99,3.61,1.69,2.79,Assam,Cachar
309,2.16,1.02,3.5500000000000003,1.7,2.7600000000000002,Assam,Cachar
310,2.15,1.04,3.47,1.73,2.75,Assam,Cachar
311,3.0,1.01,6.99,2.04,4.45,Assam,Dhubri
312,2.61,0.98,5.24,1.86,3.64,Assam,Dhubri
313,2.4,0.9400000000000001,4.58,1.76,3.29,Assam,Dhubri
314,2.25,0.93,4.21,1.68,3.06,Assam,Dhubri
315,2.14,0.85,3.87,1.55,2.82,Assam,Dhubri
316,2.05,0.87,3.71,1.59,2.79,Assam,Dhubri
317,1.98,0.85,3.54,1.49,2.62,Assam,Dhubri
318,1.92,0.8300000000000001,3.4,1.46,2.54,Assam,Dhubri
319,1.87,0.8200000000000001,3.29,1.45,2.49,Assam,Dhubri
320,1.83,0.79,3.17,1.4000000000000001,2.4,Assam,Dhubri
321,1.87,0.84,3.19,1.47,2.46,Assam,Dhubri
322,1.82,0.81,3.0700000000000003,1.42,2.37,Assam,Dhubri
323,1.77,0.81,3.0,1.4000000000000001,2.32,Assam,Dhubri
324,1.74,0.78,2.9,1.36,2.25,Assam,Dhubri
325,1.7,0.79,2.86,1.37,2.24,Assam,Dhubri
326,1.67,0.73,2.74,1.29,2.13,Assam,Dhubri
327,1.6400000000000001,0.76,2.73,1.26,2.08,Assam,Dhubri
328,1.62,0.75,2.68,1.3,2.11,Assam,Dhubri
329,1.6,0.73,2.62,1.26,2.05,Assam,Dhubri
330,3.0,1.01,6.99,2.04,4.45,Assam,Goalpara
331,2.61,0.98,5.24,1.86,3.64,Assam,Goalpara
332,2.4,0.9400000000000001,4.58,1.76,3.29,Assam,Goalpara
333,2.25,0.93,4.21,1.68,3.06,Assam,Goalpara
334,2.14,0.85,3.87,1.55,2.82,Assam,Goalpara
